polarity,homeless,homeless_trend
-0.5574,95,38
-0.5574,95,38
-0.5574,95,38
-0.743,750,120
-0.5209,5061,2024
-0.6187,1708,368
-0.7297,168,-2
-0.6259,4,-9
-0.6408,5813,1624
-0.743,5813,1624
-0.5256,4,-9
-0.5028,5061,2024
-0.6055,444,136
-0.6055,444,136
-0.6055,444,136
-0.7506,225,107
-0.7506,225,107
-0.7506,225,107
-0.7717,5813,1624
-0.7717,5813,1624
-0.7717,5813,1624
-0.5994,4,-9
-0.5994,4,-9
-0.5994,4,-9
-0.5267,5061,2024
-0.5267,5061,2024
-0.5267,5061,2024
-0.6113,5813,1624
-0.6113,5813,1624
-0.6113,5813,1624
-0.5562,4,-9
-0.5562,4,-9
-0.5562,4,-9
-0.6908,4,-9
-0.6908,4,-9
-0.6908,4,-9
-0.7506,165,44
-0.7506,165,44
-0.7506,165,44
-0.7088,5061,2024
-0.7088,5061,2024
-0.7088,5061,2024
-0.5106,5061,2024
-0.5106,5061,2024
-0.5106,5061,2024
-0.5423,210,210
-0.5423,210,210
-0.5423,210,210
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.7513,497,115
-0.7513,497,115
-0.7513,497,115
-0.5267,210,210
-0.5267,210,210
-0.5267,210,210
-0.5707,355,-3
-0.5707,355,-3
-0.5707,355,-3
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5707,5813,1624
-0.5707,5813,1624
-0.5106,5061,2024
-0.5106,5061,2024
-0.8402,13,10
-0.8402,13,10
-0.5719,4,-9
-0.5719,4,-9
-0.5719,4,-9
-0.5267,2582,2582
-0.5267,2582,2582
-0.5267,2582,2582
-0.6739,5061,2024
-0.6739,5061,2024
-0.6739,5061,2024
-0.7531,0,-403
-0.7531,0,-403
-0.7531,0,-403
-0.7906,4,-9
-0.7906,4,-9
-0.7906,4,-9
-0.5267,4,-9
-0.5994,4,-9
-0.5255,4,-9
-0.6496,4,-9
-0.5983,0,-1215
-0.7531,5061,2024
-0.6408,1599,-140
-0.5574,5061,2024
-0.5984,5813,1624
-0.5984,5813,1624
-0.5984,5813,1624
-0.7717,816,5
-0.7717,816,5
-0.7717,816,5
-0.5574,4,-9
-0.5574,4,-9
-0.5574,4,-9
-0.9054,4,-9
-0.9054,4,-9
-0.9054,4,-9
-0.8248,750,120
-0.8248,750,120
-0.8248,750,120
-0.5574,4,-9
-0.5574,4,-9
-0.5574,4,-9
-0.6124,4,-9
-0.5423,13,10
-0.5994,497,115
-0.5346,1205,179
-0.5346,1205,179
-0.5346,1205,179
-0.5346,1205,179
-0.8126,4,-9
-0.8126,4,-9
-0.8126,4,-9
-0.8126,4,-9
-0.6908,4,-9
-0.5413,1708,368
-0.5994,192,24
-0.5574,13,10
-0.9175,5061,2024
-0.6486,4,-9
-0.5106,4,-9
-0.5423,4,-9
-0.5423,5813,1624
-0.6486,4,-9
-0.5267,266,-51
-0.5267,266,-51
-0.5267,266,-51
-0.5983,0,-403
-0.5983,0,-403
-0.5983,0,-403
-0.5622,4,-9
-0.5622,4,-9
-0.5622,4,-9
-0.6981,1166,426
-0.6981,1166,426
-0.6981,1166,426
-0.6981,1166,426
-0.5423,1599,-140
-0.5423,1599,-140
-0.5423,1599,-140
-0.5423,1599,-140
-0.6486,4,-9
-0.5256,672,189
-0.5423,4,-9
-0.5096,4,-9
-0.6908,121,43
-0.5267,750,120
-0.5574,4,-9
-0.6751,4,-9
-0.9413,13,10
-0.8692,5061,2024
-0.6124,4,-9
-0.6124,4,-9
-0.5229,4,-9
-0.5229,4,-9
-0.5229,4,-9
-0.5106,4,-9
-0.5106,4,-9
-0.5106,4,-9
-0.7088,4,-9
-0.7088,4,-9
-0.7088,4,-9
-0.5574,13,10
-0.5574,13,10
-0.5574,13,10
-0.507,5813,1624
-0.507,5813,1624
-0.507,5813,1624
-0.507,5813,1624
-0.509,5813,1624
-0.509,5813,1624
-0.509,5813,1624
-0.509,5813,1624
-0.684,4,-9
-0.684,4,-9
-0.684,4,-9
-0.684,4,-9
-0.5448,672,189
-0.5448,672,189
-0.5448,672,189
-0.5448,672,189
-0.6249,12,2
-0.6249,12,2
-0.6249,12,2
-0.6249,12,2
-0.7269,4,-9
-0.7269,4,-9
-0.7269,4,-9
-0.7269,4,-9
-0.7345,4,-9
-0.7345,4,-9
-0.7345,4,-9
-0.7345,4,-9
-0.6973,2582,2582
-0.6973,2582,2582
-0.6973,2582,2582
-0.516,4,-9
-0.516,4,-9
-0.516,4,-9
-0.6476,816,5
-0.6476,816,5
-0.6476,816,5
-0.6486,750,120
-0.6486,750,120
-0.6486,750,120
-0.5563,1205,179
-0.5563,1205,179
-0.5563,1205,179
-0.7579,497,115
-0.7579,497,115
-0.7579,497,115
-0.7579,497,115
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.7096,4,-9
-0.7096,4,-9
-0.7096,4,-9
-0.7096,4,-9
-0.5423,248,-33
-0.5423,248,-33
-0.5423,248,-33
-0.5423,248,-33
-0.5574,4,-9
-0.5574,4,-9
-0.5574,4,-9
-0.5574,4,-9
-0.6249,5061,2024
-0.6249,5061,2024
-0.6249,5061,2024
-0.6249,5061,2024
-0.8074,13,10
-0.8074,13,10
-0.8074,13,10
-0.6408,5813,1624
-0.6408,5813,1624
-0.6408,5813,1624
-0.5707,816,5
-0.5707,816,5
-0.5707,816,5
-0.5267,4,-9
-0.5267,4,-9
-0.5267,4,-9
-0.5267,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6136,13,10
-0.6136,13,10
-0.6136,13,10
-0.5423,5061,2024
-0.5423,5061,2024
-0.5423,5061,2024
-0.6249,44,13
-0.6249,44,13
-0.6249,44,13
-0.5374,2582,2582
-0.5374,2582,2582
-0.5374,2582,2582
-0.7252,251,47
-0.7252,251,47
-0.7252,251,47
-0.7891,1367,380
-0.7891,1367,380
-0.7891,1367,380
-0.7891,1367,380
-0.5719,5061,2024
-0.5719,5061,2024
-0.5719,5061,2024
-0.5719,5061,2024
-0.5448,4,-9
-0.5448,4,-9
-0.5448,4,-9
-0.5448,4,-9
-0.8074,13,10
-0.8074,13,10
-0.8074,13,10
-0.8074,13,10
-0.6239,5061,2024
-0.6239,5061,2024
-0.6239,5061,2024
-0.7672,13,10
-0.7672,13,10
-0.7672,13,10
-0.5994,247,99
-0.5994,247,99
-0.5994,247,99
-0.561,5061,2024
-0.561,5061,2024
-0.561,5061,2024
-0.9477,5061,2024
-0.9477,5061,2024
-0.9477,5061,2024
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5859,4,-9
-0.5859,4,-9
-0.5859,4,-9
-0.5719,1166,426
-0.5719,1166,426
-0.5719,1166,426
-0.6421,750,120
-0.6421,750,120
-0.6421,750,120
-0.6421,750,120
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.5859,5061,2024
-0.69,4,-9
-0.5096,4,-9
-0.6808,4,-9
-0.5719,1599,-140
-0.5208,5061,2024
-0.7081,4,-9
-0.7297,709,-241
-0.7297,709,-241
-0.7297,709,-241
-0.7297,709,-241
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5423,4,-9
-0.5848,4,-9
-0.5848,4,-9
-0.5848,4,-9
-0.5848,4,-9
-0.8779,4,-9
-0.8779,4,-9
-0.8779,4,-9
-0.8779,4,-9
-0.6249,4,-9
-0.6249,4,-9
-0.6249,4,-9
-0.6249,4,-9
-0.5815,1708,368
-0.5815,1708,368
-0.5815,1708,368
-0.5815,1708,368
-0.5106,5061,2024
-0.5106,5061,2024
-0.5106,5061,2024
-0.5106,5061,2024
-0.68,4,-9
-0.68,4,-9
-0.68,4,-9
-0.7269,165,44
-0.7269,165,44
-0.7269,165,44
-0.6369,5061,2024
-0.6369,5061,2024
-0.6369,5061,2024
-0.872,4,-9
-0.872,4,-9
-0.872,4,-9
-0.872,4,-9
-0.7297,68,-10
-0.7297,68,-10
-0.7297,68,-10
-0.7297,68,-10
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.6486,4,-9
-0.5719,5061,2024
-0.5719,5061,2024
-0.5719,5061,2024
-0.5719,5061,2024
-0.7,4,-9
-0.7,4,-9
-0.7,4,-9
-0.5423,13,10
-0.5423,13,10
-0.5423,13,10
