polarity,homeless_trend
-0.5574,38
-0.5574,38
-0.743,120
-0.5209,2024
-0.6187,368
-0.7297,-2
-0.6259,-9
-0.6408,1624
-0.743,1624
-0.5256,-9
-0.5028,2024
-0.6055,136
-0.6055,136
-0.6055,136
-0.7506,107
-0.7506,107
-0.7506,107
-0.7717,1624
-0.7717,1624
-0.7717,1624
-0.5994,-9
-0.5994,-9
-0.5994,-9
-0.5267,2024
-0.5267,2024
-0.5267,2024
-0.6113,1624
-0.6113,1624
-0.6113,1624
-0.5562,-9
-0.5562,-9
-0.5562,-9
-0.6908,-9
-0.6908,-9
-0.6908,-9
-0.7506,44
-0.7506,44
-0.7506,44
-0.7088,2024
-0.7088,2024
-0.7088,2024
-0.5106,2024
-0.5106,2024
-0.5106,2024
-0.5423,210
-0.5423,210
-0.5423,210
-0.5423,-9
-0.5423,-9
-0.5423,-9
-0.7513,115
-0.7513,115
-0.7513,115
-0.5267,210
-0.5267,210
-0.5267,210
-0.5707,-3
-0.5707,-3
-0.5707,-3
-0.5423,-9
-0.5423,-9
-0.5423,-9
-0.5707,1624
-0.5707,1624
-0.5106,2024
-0.5106,2024
-0.8402,10
-0.8402,10
-0.5719,-9
-0.5719,-9
-0.5719,-9
-0.5267,2582
-0.5267,2582
-0.5267,2582
-0.6739,2024
-0.6739,2024
-0.6739,2024
-0.7531,-403
-0.7531,-403
-0.7531,-403
-0.7906,-9
-0.7906,-9
-0.7906,-9
-0.5267,-9
-0.5994,-9
-0.5255,-9
-0.6496,-9
-0.5983,-1215
-0.7531,2024
-0.6408,-140
-0.5574,2024
-0.5984,1624
-0.5984,1624
-0.5984,1624
-0.7717,5
-0.7717,5
-0.7717,5
-0.5574,-9
-0.5574,-9
-0.5574,-9
-0.9054,-9
-0.9054,-9
-0.9054,-9
-0.8248,120
-0.8248,120
-0.8248,120
-0.5574,-9
-0.5574,-9
-0.5574,-9
-0.6124,-9
-0.5423,10
-0.5994,115
-0.5346,179
-0.5346,179
-0.5346,179
-0.5346,179
-0.8126,-9
-0.8126,-9
-0.8126,-9
-0.8126,-9
-0.6908,-9
-0.5413,368
-0.5994,24
-0.5574,10
-0.9175,2024
-0.6486,-9
-0.5106,-9
-0.5423,-9
-0.5423,1624
-0.6486,-9
-0.5267,-51
-0.5267,-51
-0.5267,-51
-0.5983,-403
-0.5983,-403
-0.5983,-403
-0.5622,-9
-0.5622,-9
-0.5622,-9
-0.6981,426
-0.6981,426
-0.6981,426
-0.6981,426
-0.5423,-140
-0.5423,-140
-0.5423,-140
-0.5423,-140
-0.6486,-9
-0.5256,189
-0.5423,-9
-0.5096,-9
-0.6908,43
-0.5267,120
-0.5574,-9
-0.6751,-9
-0.9413,10
-0.8692,2024
-0.6124,-9
-0.6124,-9
-0.5229,-9
-0.5229,-9
-0.5229,-9
-0.5106,-9
-0.5106,-9
-0.5106,-9
-0.7088,-9
-0.7088,-9
-0.7088,-9
-0.5574,10
-0.5574,10
-0.5574,10
-0.507,1624
-0.507,1624
-0.507,1624
-0.507,1624
-0.509,1624
-0.509,1624
-0.509,1624
-0.509,1624
-0.684,-9
-0.684,-9
-0.684,-9
-0.684,-9
-0.5448,189
-0.5448,189
-0.5448,189
-0.5448,189
-0.6249,2
-0.6249,2
-0.6249,2
-0.6249,2
-0.7269,-9
-0.7269,-9
-0.7269,-9
-0.7269,-9
-0.7345,-9
-0.7345,-9
-0.7345,-9
-0.7345,-9
-0.6973,2582
-0.6973,2582
-0.6973,2582
-0.516,-9
-0.516,-9
-0.516,-9
-0.6476,5
-0.6476,5
-0.6476,5
-0.6486,120
-0.6486,120
-0.6486,120
-0.5563,179
-0.5563,179
-0.5563,179
-0.7579,115
-0.7579,115
-0.7579,115
-0.7579,115
-0.5423,-9
-0.5423,-9
-0.5423,-9
-0.5423,-9
-0.7096,-9
-0.7096,-9
-0.7096,-9
-0.7096,-9
-0.5423,-33
-0.5423,-33
-0.5423,-33
-0.5423,-33
-0.5574,-9
-0.5574,-9
-0.5574,-9
-0.5574,-9
-0.6249,2024
-0.6249,2024
-0.6249,2024
-0.6249,2024
-0.8074,10
-0.8074,10
-0.8074,10
-0.6408,1624
-0.6408,1624
-0.6408,1624
-0.5707,5
-0.5707,5
-0.5707,5
-0.5267,-9
-0.5267,-9
-0.5267,-9
-0.5267,-9
-0.6486,-9
-0.6486,-9
-0.6486,-9
-0.6486,-9
-0.6136,10
-0.6136,10
-0.6136,10
-0.5423,2024
-0.5423,2024
-0.5423,2024
-0.6249,13
-0.6249,13
-0.6249,13
-0.5374,2582
-0.5374,2582
-0.5374,2582
-0.7252,47
-0.7252,47
-0.7252,47
-0.7891,380
-0.7891,380
-0.7891,380
-0.7891,380
-0.5719,2024
-0.5719,2024
-0.5719,2024
-0.5719,2024
-0.5448,-9
-0.5448,-9
-0.5448,-9
-0.5448,-9
-0.8074,10
-0.8074,10
-0.8074,10
-0.8074,10
-0.6239,2024
-0.6239,2024
-0.6239,2024
-0.7672,10
-0.7672,10
-0.7672,10
-0.5994,99
-0.5994,99
-0.5994,99
-0.561,2024
-0.561,2024
-0.561,2024
-0.9477,2024
-0.9477,2024
-0.9477,2024
-0.5423,-9
-0.5423,-9
-0.5423,-9
-0.5859,-9
-0.5859,-9
-0.5859,-9
-0.5719,426
-0.5719,426
-0.5719,426
-0.6421,120
-0.6421,120
-0.6421,120
-0.6421,120
-0.6486,-9
-0.6486,-9
-0.6486,-9
-0.6486,-9
