polarity,homeless,homeless_trend
0.6361,13,10
0.6361,13,10
0.6361,13,10
0.8534,13,10
0.8534,13,10
0.8534,13,10
0.8992,5061,2024
0.8992,5061,2024
0.8992,5061,2024
0.6597,5061,2024
0.6597,5061,2024
0.6597,5061,2024
0.6369,5061,2024
0.6369,5061,2024
0.6369,5061,2024
0.8122,4,-9
0.8122,4,-9
0.8122,4,-9
0.76,4,-9
0.76,4,-9
0.76,4,-9
0.6705,5813,1624
0.6705,5813,1624
0.6705,5813,1624
0.5983,327,48
0.5983,327,48
0.5983,327,48
0.765,13,10
0.765,13,10
0.765,13,10
0.6249,672,189
0.6249,672,189
0.6249,672,189
0.8011,5061,2024
0.8011,5061,2024
0.8011,5061,2024
0.6908,4,-9
0.6908,4,-9
0.6908,4,-9
0.6369,4,-9
0.6369,4,-9
0.6369,4,-9
0.6124,4,-9
0.6124,4,-9
0.6124,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.5267,5061,2024
0.765,4,-9
0.5719,5061,2024
0.5994,1599,-140
0.8519,5061,2024
0.8519,4,-9
0.765,5061,2024
0.5994,13,10
0.8126,5813,1624
0.8126,1708,368
0.765,5061,2024
0.5913,327,48
0.5994,4,-9
0.8346,4,-9
0.5106,327,48
0.7177,4,-9
0.8555,1708,368
0.7003,890,283
0.5766,4,-9
0.8885,4,-9
0.8353,4,-9
0.5093,4,-9
0.5106,5813,1624
0.6553,5061,2024
0.5719,165,44
0.6369,3129,3129
0.7096,13,10
0.8286,5061,2024
0.7269,1205,179
0.632,4,-9
0.7906,1205,179
0.8442,4,-9
0.6114,3129,3129
0.5709,1708,368
0.8011,5061,2024
0.5994,355,-3
0.5859,5813,1624
0.5542,1166,426
0.6249,1708,368
0.7506,1708,368
0.765,4,-9
0.784,5813,1624
0.8519,1599,-140
0.765,5061,2024
0.8122,1708,368
0.5423,5061,2024
0.8519,337,114
0.7901,5813,1624
0.6249,2582,2582
0.5267,5061,2024
0.5994,5061,2024
0.5719,4,-9
0.5423,247,99
0.7506,5061,2024
0.5562,5813,1624
0.6467,1708,368
0.5994,5061,2024
0.5106,4,-9
0.8779,183,183
0.7579,13,10
0.5106,4,-9
0.6249,1166,426
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.8519,1599,-140
0.8519,1599,-140
0.8519,1599,-140
0.8519,5061,2024
0.8519,5061,2024
