polarity,homeless_trend
0.6361,10
0.6361,10
0.6361,10
0.8534,10
0.8534,10
0.8534,10
0.8992,2024
0.8992,2024
0.8992,2024
0.6597,2024
0.6597,2024
0.6597,2024
0.6369,2024
0.6369,2024
0.6369,2024
0.8122,-9
0.8122,-9
0.8122,-9
0.76,-9
0.76,-9
0.76,-9
0.6705,1624
0.6705,1624
0.6705,1624
0.5983,48
0.5983,48
0.5983,48
0.765,10
0.765,10
0.765,10
0.6249,189
0.6249,189
0.6249,189
0.8011,2024
0.8011,2024
0.8011,2024
0.6908,-9
0.6908,-9
0.6908,-9
0.6369,-9
0.6369,-9
0.6369,-9
0.6124,-9
0.6124,-9
0.6124,-9
0.765,-9
0.765,-9
0.765,-9
0.5267,2024
0.765,-9
0.5719,2024
0.5994,-140
0.8519,2024
0.8519,-9
0.765,2024
0.5994,10
0.8126,1624
0.8126,368
0.765,2024
0.5913,48
0.5994,-9
0.8346,-9
0.5106,48
0.7177,-9
0.8555,368
0.7003,283
0.5766,-9
0.8885,-9
0.8353,-9
0.5093,-9
0.5106,1624
0.6553,2024
0.5719,44
0.6369,3129
0.7096,10
0.8286,2024
0.7269,179
0.632,-9
0.7906,179
0.8442,-9
0.6114,3129
0.5709,368
0.8011,2024
0.5994,-3
0.5859,1624
0.5542,426
0.6249,368
0.7506,368
0.765,-9
0.784,1624
0.8519,-140
0.765,2024
0.8122,368
0.5423,2024
0.8519,114
0.7901,1624
0.6249,2582
0.5267,2024
0.5994,2024
0.5719,-9
0.5423,99
0.7506,2024
0.5562,1624
0.6467,368
0.5994,2024
0.5106,-9
0.8779,183
0.7579,10
0.5106,-9
0.6249,426
0.765,2024
0.765,2024
0.765,2024
0.8519,-140
0.8519,-140
0.8519,-140
0.8519,2024
0.8519,2024
0.8519,2024
0.8519,-9
0.8519,-9
0.8519,-9
0.6369,-9
0.6369,-9
0.6369,-9
0.5423,2024
0.5423,2024
0.5423,2024
0.5994,48
0.5994,48
0.5994,48
0.5707,-51
0.5707,-51
0.5707,-51
0.7964,2024
0.7964,2024
0.7964,2024
0.8555,-9
0.8555,-9
0.8555,-9
0.636,16
0.636,16
0.636,16
0.6369,66
0.6369,66
0.6369,66
0.8236,-9
0.8236,-9
0.8236,-9
0.5994,10
0.5994,10
0.5994,10
0.7717,179
0.7717,179
0.7717,179
0.6166,2024
0.6166,2024
0.6166,2024
0.6249,99
0.6249,99
0.6249,99
0.6249,99
0.5868,2024
0.5868,2024
0.5868,2024
0.5868,2024
0.7297,121
0.7297,121
0.7297,121
0.7297,121
0.5574,136
0.5574,136
0.5574,136
0.5574,136
0.5267,-9
0.5267,-9
0.5267,-9
0.5267,-9
0.6249,-9
0.6249,-9
0.6249,-9
0.6249,-9
0.6369,368
0.6369,368
0.6369,368
0.6369,368
0.8316,179
0.8316,179
0.8316,179
0.8316,179
0.743,-9
0.743,-9
0.743,-9
0.743,-9
0.5994,-1215
0.5994,-1215
0.5994,-1215
0.5994,-1215
0.5106,-140
0.5106,-140
0.5106,-140
0.5106,-140
0.6369,426
0.6369,426
0.6369,426
0.6369,426
0.5994,368
0.5994,368
0.5994,368
0.5994,368
0.6249,2024
0.6249,2024
0.6249,2024
0.6249,2024
0.5859,-9
0.5859,-9
0.5859,-9
0.5859,-9
0.5803,-9
0.5803,-9
0.5803,-9
0.5803,-9
0.9483,-9
0.9483,-9
0.9483,-9
0.9483,-9
0.8313,2024
0.8313,2024
0.8313,2024
0.8313,2024
0.5994,42
0.5994,42
0.5994,42
0.5994,42
0.5994,51
0.5994,51
0.5994,51
0.5994,51
0.8271,41
0.8271,41
0.8271,41
0.8271,41
0.657,43
0.657,43
0.657,43
0.657,43
0.9062,2582
0.9062,2582
0.9062,2582
0.9062,2582
0.6989,-1215
0.6989,-1215
0.6989,-1215
0.6989,-1215
0.5826,10
0.5826,10
0.5826,10
0.5826,10
0.5859,-9
0.5859,-9
0.5859,-9
0.5859,-9
0.7783,2024
0.7783,2024
0.7783,2024
0.7783,2024
0.6369,2024
0.6369,2024
0.6369,2024
0.6369,2024
0.6249,2582
0.6249,2582
0.6249,2582
0.6249,2582
0.8442,10
0.8442,10
0.8442,10
0.8442,10
0.8271,41
0.8271,41
0.8271,41
0.8271,41
0.7537,47
0.7537,47
0.7537,47
0.7537,47
0.5719,-9
0.5719,-9
0.5719,-9
0.5719,-9
0.6369,-9
0.6369,-9
0.6369,-9
0.6369,-9
0.508,2024
0.508,2024
0.508,2024
0.508,2024
0.5719,368
0.5719,368
0.5719,368
0.5719,368
0.795,120
0.795,120
0.795,120
0.795,120
0.5267,78
0.5267,78
0.5267,78
0.5267,78
0.802,114
0.802,114
0.802,114
0.802,114
0.6249,368
0.6249,368
0.6249,368
0.6249,368
0.802,-9
0.802,-9
0.802,-9
0.802,-9
0.6249,10
0.6249,10
0.6249,10
