"polarity","homeless","homeless_trend","food_group"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.6249","4","-9","2"
"-0.296","4","-9","0"
"-0.296","4","-9","1"
"0.4588","4","-9","2"
"0.4404","4","-9","2"
"0.126","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","3"
"0.6369","4","-9","1"
"0.5742","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.2023","4","-9","1"
"0.0","4","-9","2"
"0.457","4","-9","2"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"-0.6467","4","-9","4"
"0.0","4","-9","1"
"0.4574","4","-9","0"
"0.4215","4","-9","4"
"0.0","4","-9","1"
"0.0","4","-9","0"
"0.875","4","-9","0"
"0.0258","4","-9","1"
"0.1531","4","-9","1"
"0.0","4","-9","1"
"0.2023","4","-9","0"
"0.4019","497","115","2"
"0.8668","4","-9","0"
"0.0","4","-9","1"
"0.0258","4","-9","1"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.0258","4","-9","1"
"0.7184","497","115","1"
"0.0","4","-9","1"
"0.4939","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","1"
"0.5106","4","-9","3"
"0.0","4","-9","0"
"-0.296","4","-9","1"
"0.7845","4","-9","4"
"0.8313","4","-9","2"
"0.0","4","-9","1"
"-0.0772","4","-9","1"
"0.5106","44","-48","0"
"0.0","497","115","1"
"0.4588","4","-9","2"
"0.0","4","-9","0"
"0.6908","4","-9","2"
"-0.4019","4","-9","1"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.4939","4","-9","4"
"0.4588","4","-9","0"
"0.0258","4","-9","1"
"0.0","4","-9","1"
"-0.296","4","-9","1"
"0.0258","4","-9","1"
"0.7003","4","-9","0"
"0.0","44","-48","0"
"0.3182","4","-9","4"
"0.0258","4","-9","1"
"0.6369","4","-9","3"
"0.4019","4","-9","0"
"0.4215","4","-9","2"
"0.0","4","-9","2"
"0.0258","4","-9","1"
"0.4753","4","-9","1"
"0.4574","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.7777","4","-9","3"
"0.0","4","-9","1"
"0.7249","4","-9","0"
"0.8225","4","-9","2"
"0.0","4","-9","3"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.4019","497","115","2"
"0.908","4","-9","1"
"0.0","4","-9","1"
"0.4939","750","120","3"
"0.0","4","-9","2"
"0.636","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.4588","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","1"
"-0.2732","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","0"
"0.3182","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","1"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.0258","4","-9","1"
"0.0","4","-9","0"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.5093","4","-9","0"
"0.0258","4","-9","1"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.8591","4","-9","2"
"0.4199","4","-9","1"
"0.0","4","-9","4"
"0.296","4","-9","1"
"0.0","4","-9","2"
"0.4019","4","-9","3"
"0.34","4","-9","1"
"0.6369","4","-9","0"
"-0.296","4","-9","1"
"0.25","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","4"
"-0.296","4","-9","1"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.0","1942","427","4"
"0.0","4","-9","0"
"0.0","4","-9","0"
"0.6249","4","-9","4"
"0.4215","1942","427","2"
"0.4215","1942","427","2"
"0.8147","4","-9","2"
"0.0","4","-9","1"
"0.3975","4","-9","0"
"0.4588","4","-9","1"
"-0.296","4","-9","1"
"0.5859","4","-9","1"
"0.0","4","-9","2"
"0.6696","4","-9","1"
"0.4767","4","-9","4"
"0.0258","4","-9","1"
"0.6369","4","-9","3"
"0.0","4","-9","0"
"0.4215","4","-9","0"
"0.7964","4","-9","1"
"0.0","750","120","0"
"0.128","4","-9","1"
"0.0","4","-9","3"
"0.6908","4","-9","1"
"0.4404","750","120","1"
"0.1779","4","-9","1"
"0.0","4","-9","2"
"0.4019","4","-9","2"
"0.6597","4","-9","3"
"0.7506","4","-9","2"
"0.7256","4","-9","2"
"-0.296","4","-9","1"
"0.8143","497","115","1"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.5622","4","-9","2"
"0.3802","497","115","3"
"0.0772","4","-9","1"
"0.0","4","-9","1"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","1"
"0.0","4","-9","0"
"0.5994","4","-9","0"
"0.0258","4","-9","1"
"0.0","4","-9","1"
"0.6114","4","-9","3"
"0.0","4","-9","2"
"-0.4215","4","-9","1"
"0.784","4","-9","1"
"0.0","4","-9","1"
"-0.6588","4","-9","4"
"0.4588","4","-9","1"
"-0.6808","4","-9","0"
"0.0","1942","427","1"
"0.0","4","-9","2"
"0.0","4","-9","4"
"0.0772","1599","-140","1"
"0.7506","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","3"
"0.5095","4","-9","1"
"0.7297","4","-9","1"
"-0.296","4","-9","1"
"0.5994","4","-9","2"
"-0.296","4","-9","1"
"0.6369","497","115","0"
"-0.4019","4","-9","1"
"0.5994","4","-9","0"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0516","4","-9","4"
"0.5399","4","-9","2"
"-0.296","4","-9","1"
"-0.296","4","-9","1"
"0.0","4","-9","2"
